"job_role","required_skills","project_name","project_description","project_github_link","certification_name","certification_provider","certification_link"
"Backend Developer","GraphQL, Apollo Server, Node.js","GraphQL Social API","Build a full GraphQL API with Apollo Server subscriptions DataLoader batching and N+1 query prevention","https://github.com/apollographql/apollo-server","GraphQL by Example","Udemy","https://www.udemy.com/course/graphql-by-example/"
"Backend Developer","gRPC, Protocol Buffers, Go","gRPC Microservice System","Implement a gRPC microservice system with Protocol Buffers bi-directional streaming and service discovery","https://github.com/grpc/grpc-go","gRPC Master Class","Udemy","https://www.udemy.com/course/grpc-golang/"
"Full Stack Developer","React, Node.js, Express, MongoDB (MERN)","MERN Stack Social Network","Build a full social network with posts likes comments friend system real-time notifications using MERN","https://github.com/Ren0503/mern-social-network","MERN Stack Front To Back","Udemy","https://www.udemy.com/course/mern-stack-front-to-back/"
"Full Stack Developer","Next.js, Prisma, PostgreSQL, tRPC","tRPC Next.js SaaS App","Build a type-safe full-stack SaaS app using Next.js tRPC Prisma PostgreSQL and Clerk authentication","https://github.com/trpc/trpc","Full Stack Open 2024","University of Helsinki","https://fullstackopen.com/en/"
"Full Stack Developer","Angular, Spring Boot, MySQL","Angular Spring Inventory System","Develop a full-stack inventory management system with Angular frontend Spring Boot API and MySQL","https://github.com/darbyluv2code/fullstack-angular-and-springboot","Full Stack Java Developer","IBM / Coursera","https://www.coursera.org/professional-certificates/ibm-full-stack-cloud-developer"
"Full Stack Developer","Vue 3, Django REST, PostgreSQL","Vue Django Project Manager","Build a project management tool with Vue 3 frontend Django REST Framework backend and Kanban board","https://github.com/veryacademy/yt_django_vue","Django and React – Build Projects","Udemy","https://www.udemy.com/course/build-a-django-rest-api-with-the-django-rest-framework/"
"Full Stack Developer","React, Firebase, Firestore","Firebase Kanban Board","Build a collaborative Kanban board with real-time drag-and-drop using React DnD and Firebase Firestore","https://github.com/firebase/quickstart-js","Firebase Web Codelab","Google Developers","https://firebase.google.com/codelabs/firebase-web"
"Full Stack Developer","Remix, Supabase, TailwindCSS","Remix Note-Taking App","Develop a full-stack note app with Remix file-based routing Supabase PostgreSQL and row-level security","https://github.com/remix-run/examples","Supabase Crash Course","Udemy","https://www.udemy.com/course/supabase-in-depth/"
"Full Stack Developer","T3 Stack – Next.js tRPC Tailwind Prisma","T3 Stack Twitter Clone","Build a Twitter clone using the T3 Stack with infinite scroll optimistic updates and image upload","https://github.com/t3-oss/create-t3-app","React Query and Next.js","Udemy","https://www.udemy.com/course/nextjs-react-the-complete-guide/"
"Full Stack Developer","SvelteKit, PocketBase, TailwindCSS","SvelteKit Real-Time Chat","Create a real-time chat application with SvelteKit SSR PocketBase as backend and WebSocket events","https://github.com/pocketbase/pocketbase","SvelteKit Full Course","YouTube / Svelte","https://learn.svelte.dev/"
"Full Stack Developer","Nuxt 3, Supabase, Stripe","Nuxt SaaS Subscription App","Build a SaaS app with Nuxt 3 Supabase Auth Stripe subscriptions and usage-based billing","https://github.com/nuxt/nuxt","Nuxt 3 Full Stack","Udemy","https://www.udemy.com/course/nuxtjs-vuejs-on-steroids/"
"Full Stack Developer","React, GraphQL, Hasura, PostgreSQL","Hasura GraphQL Shop","Build an e-commerce platform with React Apollo Client Hasura auto-generated GraphQL and PostgreSQL","https://github.com/hasura/graphql-engine","GraphQL with React – The Complete Developers Guide","Udemy","https://www.udemy.com/course/graphql-with-react-course/"
"Data Analyst","Python, Pandas, Seaborn, Matplotlib","Superstore Sales EDA","Perform end-to-end exploratory data analysis on Superstore dataset with correlation heatmaps and trend analysis","https://github.com/dsrscientist/dataset1","Google Data Analytics Certificate","Coursera","https://www.coursera.org/professional-certificates/google-data-analytics"
"Data Analyst","SQL, PostgreSQL, Window Functions","E-Commerce SQL Analytics","Write advanced SQL queries with CTEs window functions and subqueries to derive business KPIs","https://github.com/owid/owid-datasets","SQL for Data Science","Coursera","https://www.coursera.org/learn/sql-for-data-science"
"Data Analyst","Tableau, SQL, Excel","Tableau Sales Dashboard","Build interactive Tableau dashboards with LOD expressions actions calculated fields and forecasting","https://github.com/tableau/community-tableau-server-insights","Data Visualization with Tableau","Coursera","https://www.coursera.org/specializations/data-visualization"
"Data Analyst","Power BI, DAX, SQL","Power BI HR Analytics","Create Power BI reports with complex DAX measures slicers bookmarks and row-level security","https://github.com/microsoft/powerbi-desktop-samples","Microsoft Power BI Data Analyst PL-300","Microsoft","https://learn.microsoft.com/en-us/certifications/power-bi-data-analyst-associate/"
"Data Analyst","Python, Plotly, Dash","Interactive COVID Dashboard","Build an interactive Plotly Dash dashboard with dropdown filters animated maps and live data updates","https://github.com/owid/covid-19-data","Data Visualization with Python","IBM / Coursera","https://www.coursera.org/learn/python-for-data-visualization"
"Data Analyst","R, ggplot2, tidyr, dplyr","Tidyverse Data Wrangling","Clean reshape and visualize messy datasets using R tidyverse dplyr tidyr and ggplot2","https://github.com/rstudio/tidyverse","Data Science Specialization","Coursera / JHU","https://www.coursera.org/specializations/jhu-data-science"
"Data Analyst","Excel, Power Query, VBA","Excel BI Dashboard","Build an Excel business intelligence dashboard with Power Query pivot tables slicers and VBA macros","https://github.com/microsoft/Excel-Custom-Functions","Excel Skills for Business","Coursera","https://www.coursera.org/specializations/excel"
"Data Analyst","Google Looker Studio, BigQuery","Looker Studio Marketing Report","Connect BigQuery to Looker Studio to build a real-time marketing analytics report with GA4 data","https://github.com/GoogleCloudPlatform/marketing-analytics-jumpstart","Google Business Intelligence Certificate","Coursera","https://www.coursera.org/professional-certificates/google-business-intelligence"
"Data Analyst","Python, Great Expectations, Pandas","Data Quality Pipeline","Build a data quality validation pipeline using Great Expectations to detect anomalies and schema violations","https://github.com/great-expectations/great_expectations","IBM Data Analyst Professional","Coursera","https://www.coursera.org/professional-certificates/ibm-data-analyst"
"Data Analyst","Python, Scipy, Statsmodels","A/B Testing Framework","Implement statistical A/B testing with hypothesis testing p-values confidence intervals and power analysis","https://github.com/rasbt/mlxtend","Statistics with Python","Coursera / UMich","https://www.coursera.org/specializations/statistics-with-python"
"Data Scientist","Python, Scikit-learn, XGBoost","House Price Prediction","Build an ML regression pipeline with feature engineering hyperparameter tuning and SHAP explainability","https://github.com/ageron/handson-ml3","IBM Data Science Professional","Coursera","https://www.coursera.org/professional-certificates/ibm-data-science"
"Data Scientist","Python, NLP, TF-IDF, BERT","Fake News Detector","Build a fake news classifier using TF-IDF logistic regression and fine-tuned BERT with 95%+ accuracy","https://github.com/joolsa/fake_news_detection","Applied Data Science with Python","Coursera / UMich","https://www.coursera.org/specializations/data-science-python"
"Data Scientist","Python, PyTorch, CNN","Medical Image Classifier","Train a CNN to classify chest X-rays for pneumonia detection using PyTorch and transfer learning ResNet50","https://github.com/ieee8023/covid-chestxray-dataset","Deep Learning Specialization","DeepLearning.AI","https://www.coursera.org/specializations/deep-learning"
"Data Scientist","Python, Time Series, Prophet, LSTM","Demand Forecasting System","Build time series forecasting models using ARIMA Prophet and LSTM to forecast product demand","https://github.com/unit8co/darts","Sequences Time Series and Prediction","Coursera / DeepLearning.AI","https://www.coursera.org/learn/tensorflow-sequences-time-series-and-prediction"
"Data Scientist","Python, K-Means, DBSCAN, PCA","Customer Segmentation Engine","Segment customers using K-Means DBSCAN and PCA dimensionality reduction with interactive cluster visualization","https://github.com/jakevdp/PythonDataScienceHandbook","Machine Learning Specialization","Coursera / DeepLearning.AI","https://www.coursera.org/specializations/machine-learning-introduction"
"Data Scientist","Python, LightGBM, Optuna","Credit Fraud Detection","Train a LightGBM fraud detection model with Optuna hyperparameter search on imbalanced class datasets","https://github.com/microsoft/LightGBM","Data Science MicroMasters","edX / UC San Diego","https://www.edx.org/micromasters/uc-san-diegox-data-science"
"Data Scientist","Python, Recommender Systems, Surprise","Collaborative Filtering Engine","Build a movie recommendation engine using collaborative filtering SVD and matrix factorization with Surprise","https://github.com/NicolasHug/Surprise","Mathematics for Machine Learning","Coursera","https://www.coursera.org/specializations/mathematics-machine-learning"
"Data Scientist","Python, Bayesian, PyMC","Bayesian A/B Testing","Implement Bayesian A/B testing and inference using PyMC to quantify uncertainty in business decisions","https://github.com/pymc-devs/pymc","Probabilistic Deep Learning with TensorFlow","Coursera","https://www.coursera.org/learn/probabilistic-deep-learning-with-tensorflow2"
"Data Scientist","Python, NLP, Topic Modeling, LDA","News Topic Modeler","Extract topics from news articles using LDA NMF and BERTopic with coherence score evaluation","https://github.com/MaartenGr/BERTopic","Natural Language Processing Specialization","Coursera / DeepLearning.AI","https://www.coursera.org/specializations/natural-language-processing"
"Machine Learning Engineer","Python, TensorFlow, Keras, CNN","Image Classification Pipeline","Build end-to-end image classification pipeline with augmentation transfer learning and TFLite export","https://github.com/tensorflow/examples","TensorFlow Developer Certificate","Google / Coursera","https://www.coursera.org/professional-certificates/tensorflow-in-practice"
"Machine Learning Engineer","Python, PyTorch, Transformers","Transformer from Scratch","Implement the full Transformer architecture from scratch in PyTorch with multi-head attention","https://github.com/karpathy/nanoGPT","Deep Learning with PyTorch","Udemy","https://www.udemy.com/course/pytorch-for-deep-learning-in-python/"
"Machine Learning Engineer","Python, Hugging Face, LoRA","LLM Fine-Tuning with LoRA","Fine-tune a Llama 3 model using LoRA/QLoRA for domain-specific Q&A with PEFT library","https://github.com/huggingface/peft","Generative AI with LLMs","Coursera / DeepLearning.AI","https://www.coursera.org/learn/generative-ai-with-llms"
"Machine Learning Engineer","Python, GAN, StyleGAN","Face Generation with StyleGAN","Train and experiment with StyleGAN3 for high-fidelity face image synthesis and latent space manipulation","https://github.com/NVlabs/stylegan3","GANs Specialization","Coursera / DeepLearning.AI","https://www.coursera.org/specializations/generative-adversarial-networks-gans"
"Machine Learning Engineer","Python, Stable Diffusion, Diffusers","Text-to-Image Fine-Tuning","Fine-tune Stable Diffusion XL with DreamBooth on custom images using the Diffusers library","https://github.com/huggingface/diffusers","Diffusion Models","DeepLearning.AI","https://learn.deeplearning.ai/courses/diffusion-models"
"Machine Learning Engineer","Python, OpenAI Gym, PPO","Reinforcement Learning Agent","Train a PPO agent to solve CartPole LunarLander and Atari games using Stable Baselines3","https://github.com/DLR-RM/stable-baselines3","Deep Reinforcement Learning","Hugging Face","https://huggingface.co/learn/deep-rl-course/"
"Machine Learning Engineer","Python, Graph Neural Networks, PyG","Graph Neural Network Classifier","Build a GNN for molecular property prediction using PyTorch Geometric and OGBN benchmark datasets","https://github.com/pyg-team/pytorch_geometric","Machine Learning Engineering for Production","Coursera","https://www.coursera.org/specializations/machine-learning-engineering-for-production-mlops"
"Machine Learning Engineer","Python, Whisper, Audio ML","Speech Recognition System","Build a speech-to-text system using OpenAI Whisper with custom fine-tuning on domain-specific audio","https://github.com/openai/whisper","AI for Medical Diagnosis","Coursera / DeepLearning.AI","https://www.coursera.org/learn/ai-for-medical-diagnosis"
"Data Engineer","Python, Apache Spark, Delta Lake","Spark Delta Lake Pipeline","Build a lakehouse ETL pipeline using Apache Spark and Delta Lake with ACID transactions and schema evolution","https://github.com/delta-io/delta","IBM Data Engineering Professional","Coursera","https://www.coursera.org/professional-certificates/ibm-data-engineer"
"Data Engineer","Python, Apache Airflow, PostgreSQL","Airflow ETL Orchestration","Design multi-step ETL DAGs in Airflow with sensors cross-task dependencies and failure alerting","https://github.com/apache/airflow","Data Engineering with Google Cloud","Coursera","https://www.coursera.org/professional-certificates/gcp-data-engineering"
"Data Engineer","Python, Apache Kafka, Spark Streaming","Real-Time Event Pipeline","Build a real-time event streaming pipeline with Kafka producers consumers and Spark Structured Streaming","https://github.com/apache/kafka","Confluent Kafka Developer","Confluent","https://www.confluent.io/certification/"
"Data Engineer","Python, dbt, Snowflake","dbt Snowflake Analytics","Model transform and test analytics data in Snowflake using dbt with sources tests and documentation","https://github.com/dbt-labs/dbt-core","Analytics Engineering with dbt","dbt Learn","https://courses.getdbt.com/"
"Data Engineer","Python, AWS Glue, S3, Redshift","AWS Data Lake on S3","Build a serverless data lake with S3 Glue Crawler Redshift Spectrum and Athena for ad-hoc queries","https://github.com/aws-samples/aws-glue-samples","AWS Data Engineer Associate","AWS","https://aws.amazon.com/certification/certified-data-engineer-associate/"
"Data Engineer","Python, BigQuery, Dataflow","GCP Batch Streaming Pipeline","Process batch and streaming data on GCP using Dataflow Apache Beam and load results to BigQuery","https://github.com/GoogleCloudPlatform/DataflowTemplates","Professional Data Engineer – GCP","Google Cloud","https://cloud.google.com/certification/data-engineer"
"Data Engineer","Python, Azure Data Factory, Synapse","Azure Synapse Pipeline","Build an enterprise data pipeline using Azure Data Factory Synapse Analytics and Azure Data Lake Gen2","https://github.com/Azure/Azure-DataFactory","Microsoft Azure Data Engineer DP-203","Microsoft","https://learn.microsoft.com/en-us/certifications/azure-data-engineer/"
"Data Engineer","Python, Flink, Kafka","Apache Flink Stream Processing","Implement stateful stream processing with Apache Flink for real-time fraud detection on event streams","https://github.com/apache/flink","Streaming Analytics on GCP","Coursera","https://www.coursera.org/learn/streaming-analytics"
"Data Engineer","Python, Iceberg, Trino","Apache Iceberg Data Lakehouse","Build a modern open data lakehouse using Apache Iceberg Trino and MinIO for cost-effective analytics","https://github.com/apache/iceberg","Data Warehouse Fundamentals","Coursera","https://www.coursera.org/learn/data-warehousing-for-business-intelligence"
"Data Engineer","Python, Databricks, Unity Catalog","Databricks Medallion Architecture","Implement Bronze Silver Gold medallion architecture in Databricks with Unity Catalog governance","https://github.com/databricks/dbt-databricks","Databricks Certified Data Engineer Associate","Databricks","https://www.databricks.com/learn/certification/data-engineer-associate"
"DevOps Engineer","Docker, Docker Compose, Nginx","Multi-Container App Stack","Containerize a full-stack app with Docker Compose Nginx reverse proxy SSL and health checks","https://github.com/dockersamples/example-voting-app","Docker and Kubernetes: The Complete Guide","Udemy","https://www.udemy.com/course/docker-and-kubernetes-the-complete-guide/"
"DevOps Engineer","Kubernetes, Helm, Kustomize","Kubernetes Helm Deployment","Deploy a microservices app on Kubernetes using Helm charts Kustomize overlays and HPA auto-scaling","https://github.com/helm/charts","Certified Kubernetes Administrator","CNCF / Linux Foundation","https://www.cncf.io/certification/cka/"
"DevOps Engineer","Terraform, AWS, Modules","AWS IaC with Terraform Modules","Build reusable Terraform modules for VPC EC2 RDS ALB and S3 with remote state and workspaces","https://github.com/terraform-aws-modules","HashiCorp Terraform Associate","HashiCorp","https://www.hashicorp.com/certification/terraform-associate"
"DevOps Engineer","GitHub Actions, Docker, AWS ECR","CI/CD with GitHub Actions","Build a full CI/CD pipeline with GitHub Actions Docker builds ECR push and ECS deployment","https://github.com/actions/starter-workflows","DevOps on AWS Specialization","Coursera","https://www.coursera.org/specializations/aws-devops"
"DevOps Engineer","Jenkins, Groovy, SonarQube","Jenkins Declarative Pipeline","Create a Jenkins declarative pipeline with parallel stages SonarQube analysis and artifact publishing","https://github.com/jenkinsci/jenkins","Jenkins Fundamentals","CloudBees University","https://university.cloudbees.com/"
"DevOps Engineer","ArgoCD, GitOps, Kubernetes","GitOps with ArgoCD","Implement GitOps continuous delivery for Kubernetes using ArgoCD with app-of-apps pattern","https://github.com/argoproj/argo-cd","GitOps at Scale","Weaveworks","https://www.weave.works/technologies/gitops/"
"DevOps Engineer","Ansible, Playbooks, Vault","Ansible Config Management","Automate server configuration using Ansible playbooks roles vault encryption and dynamic inventory","https://github.com/ansible/ansible","Red Hat Ansible Automation","Red Hat","https://www.redhat.com/en/technologies/management/ansible/training-and-certifications"
"DevOps Engineer","Prometheus, Grafana, Alertmanager","Observability Stack","Set up full observability with Prometheus metrics Grafana dashboards Loki logs and Alertmanager","https://github.com/prometheus/prometheus","Site Reliability Engineering","Google / Coursera","https://www.coursera.org/learn/site-reliability-engineering-slos"
"DevOps Engineer","Pulumi, TypeScript, AWS","Pulumi IaC in TypeScript","Define and deploy AWS infrastructure using Pulumi with TypeScript for type-safe cloud resource management","https://github.com/pulumi/pulumi","Cloud DevOps Nanodegree","Udacity","https://www.udacity.com/course/cloud-dev-ops-nanodegree--nd9991"
"DevOps Engineer","Vault, Consul, Nomad","HashiCorp Stack Deployment","Deploy a secure service mesh using HashiCorp Vault for secrets Consul for discovery and Nomad for scheduling","https://github.com/hashicorp/vault","HashiCorp Vault Associate","HashiCorp","https://www.hashicorp.com/certification/vault-associate"
"Cloud Engineer","AWS, Lambda, API Gateway, DynamoDB","Serverless REST API on AWS","Build a fully serverless REST API using AWS Lambda API Gateway DynamoDB and Cognito auth","https://github.com/aws-samples/aws-serverless-workshops","AWS Solutions Architect Associate SAA-C03","AWS","https://aws.amazon.com/certification/certified-solutions-architect-associate/"
"Cloud Engineer","AWS, CDK, TypeScript","AWS CDK Infrastructure","Define and deploy AWS infrastructure using CDK with TypeScript constructs stacks and pipelines","https://github.com/aws/aws-cdk","AWS Developer Associate DVA-C02","AWS","https://aws.amazon.com/certification/certified-developer-associate/"
"Cloud Engineer","Azure, Bicep, ARM Templates","Azure Bicep Deployment","Provision Azure resources using Bicep templates modules parameter files and deployment pipelines","https://github.com/Azure/bicep","Microsoft Azure Administrator AZ-104","Microsoft","https://learn.microsoft.com/en-us/certifications/azure-administrator/"
"Cloud Engineer","Azure, AKS, Azure DevOps","AKS CI/CD Pipeline","Deploy and manage containerized apps on Azure Kubernetes Service with Azure DevOps pipelines","https://github.com/Azure/AKS","Microsoft Azure DevOps Engineer AZ-400","Microsoft","https://learn.microsoft.com/en-us/certifications/devops-engineer/"
"Cloud Engineer","GCP, Cloud Run, Cloud Build","GCP Serverless App Deploy","Deploy a containerized app to GCP Cloud Run with Cloud Build triggers Artifact Registry and IAM","https://github.com/GoogleCloudPlatform/cloud-run-samples","Google Cloud Associate Cloud Engineer","Google Cloud","https://cloud.google.com/certification/cloud-engineer"
"Cloud Engineer","GCP, Terraform, GKE","GKE Terraform Cluster","Provision and configure a GKE cluster using Terraform with node pools Workload Identity and VPC peering","https://github.com/GoogleCloudPlatform/terraform-google-kubernetes-engine","Google Cloud Professional Cloud Architect","Google Cloud","https://cloud.google.com/certification/cloud-architect"
"Cloud Engineer","Multi-Cloud, Pulumi, Kubernetes","Multi-Cloud Kubernetes Federation","Deploy a federated Kubernetes workload across AWS GCP and Azure using Pulumi and KubeFed","https://github.com/kubernetes-sigs/kubefed","Multi-Cloud Architecture","Coursera","https://www.coursera.org/learn/google-cloud-product-fundamentals"
"Cloud Engineer","AWS, CloudFront, WAF, S3","CDN and Security Setup","Configure AWS CloudFront distribution WAF rules custom SSL ACM certificates and S3 origin access control","https://github.com/aws-samples/aws-waf-and-shield-advanced-developer-guide","AWS Security Specialty","AWS","https://aws.amazon.com/certification/certified-security-specialty/"
"Mobile App Developer","Swift, SwiftUI, Combine","SwiftUI Fitness App","Build an iOS fitness tracker with SwiftUI Combine framework HealthKit integration and CoreData persistence","https://github.com/nicklockwood/SwiftFormat","iOS App Development with Swift","Coursera / Meta","https://www.coursera.org/specializations/app-development"
"Mobile App Developer","Swift, UIKit, ARKit","AR Measuring App","Create an iOS AR app using ARKit RealityKit and SwiftUI to measure real-world objects with the camera","https://github.com/nicklockwood/Euclid","Developing AR Apps with Reality Composer","Apple / Udemy","https://www.udemy.com/course/arkit/"
"Mobile App Developer","Kotlin, Jetpack Compose, Hilt","Compose News Reader","Build a modern Android news reader with Jetpack Compose Hilt DI Retrofit and Paging 3 library","https://github.com/android/compose-samples","Android Kotlin Developer Certification","Google","https://developer.android.com/courses/kotlin-android-fundamentals/overview"
