"job_role","required_skills","project_name","project_description","project_github_link","certification_name","certification_provider","certification_link"
"UX Designer","User Research, Usability Testing, Information Architecture, Wireframing, Prototyping, Interaction Design, User Flows, Persona Development, Empathy Mapping, Heuristic Evaluation, Accessibility, A/B Testing (basic), Data Analysis (UX metrics), Material Design, Apple Human Interface Guidelines, Design Systems","Voice User Interface (VUI) for a Smart Assistant","A UX design project focused on creating conversational flows and interaction models for a voice-controlled smart home assistant. This includes scriptwriting, intent mapping, and prototyping voice interactions.","https://github.com/ux-case-studies/vui-smart-assistant-ux-design","UI/UX Design Specialization","California Institute of the Arts (Coursera)","https://www.coursera.org/specializations/ui-ux-design"
"UX Designer","User Research, Usability Testing, Information Architecture, Wireframing, Prototyping, Interaction Design, User Flows, Persona Development, Empathy Mapping, Heuristic Evaluation, Accessibility, A/B Testing (basic), Data Analysis (UX metrics), Material Design, Apple Human Interface Guidelines, Design Systems","UX Research and Design for a B2B Financial Analytics Tool","An end-to-end UX project involving extensive user interviews, journey mapping, and prototype development for a new feature within a complex B2B financial analytics tool. Aims to simplify complex data interactions.","https://github.com/ux-case-studies/b2b-financial-tool-ux-project","Foundations of User Experience (UX) Design","Google (Coursera)","https://www.coursera.org/learn/foundations-of-user-experience-design"
"Product Designer","UI/UX Design, Product Strategy, Market Research, Business Acumen, Data Analysis (product metrics), A/B Testing, Stakeholder Management, Roadmap Planning, Prototyping, Information Architecture, User Stories, Journey Mapping, Competitive Analysis, Feature Prioritization, Design Systems (e.g., Material Design, Ant Design), Agile/Scrum tools","Launching a New Feature for an Established Product","A product design case study on conceiving, validating, designing, and measuring the impact of a new 'collaborative editing' feature for an existing document management application. Includes user research, design sprints, and post-launch analysis.","https://github.com/product-design-examples/document-app-collaborative-feature","Google UX Design Professional Certificate","Google (Coursera)","https://www.coursera.org/professional-certificates/google-ux-design"
"Product Designer","UI/UX Design, Product Strategy, Market Research, Business Acumen, Data Analysis (product metrics), A/B Testing, Stakeholder Management, Roadmap Planning, Prototyping, Information Architecture, User Stories, Journey Mapping, Competitive Analysis, Feature Prioritization, Design Systems (e.g., Material Design, Ant Design), Agile/Scrum tools","Designing an Entire New Product (FinTech)","An end-to-end product design project for a new mobile-first budgeting and investment application, including market analysis, MVP definition, full UI/UX, and a go-to-market strategy. Focuses on user financial well-being.","https://github.com/product-design-examples/fintech-budgeting-app-product-design","Certified Scrum Product Owner (CSPO)","Scrum Alliance","https://www.scrumalliance.org/get-certified/product-owner-certifications/cspo-certification"
"Product Designer","UI/UX Design, Product Strategy, Market Research, Business Acumen, Data Analysis (product metrics), A/B Testing, Stakeholder Management, Roadmap Planning, Prototyping, Information Architecture, User Stories, Journey Mapping, Competitive Analysis, Feature Prioritization, Design Systems (e.g., Material Design, Ant Design), Agile/Scrum tools","Optimizing User Retention for a Mobile Application","A product design initiative focused on identifying friction points and designing solutions to improve user retention metrics for a social fitness tracking mobile application. This involves data analysis, user interviews, and iterative design.","https://github.com/product-design-examples/fitness-app-retention-optimization","Product Management Specialization","University of Alberta (Coursera)","https://www.coursera.org/specializations/product-management"
"Product Designer","UI/UX Design, Product Strategy, Market Research, Business Acumen, Data Analysis (product metrics), A/B Testing, Stakeholder Management, Roadmap Planning, Prototyping, Information Architecture, User Stories, Journey Mapping, Competitive Analysis, Feature Prioritization, Design Systems (e.g., Material Design, Ant Design), Agile/Scrum tools","Crafting a Design System for a Multi-Product Company","A project focused on building a scalable design system (components, guidelines, documentation) from scratch for a company with multiple digital products. Ensures consistency, efficiency, and brand cohesion across all touchpoints.","https://github.com/product-design-examples/multi-product-design-system","Interaction Design Foundation (IxDF) Certificate: Product Design","Interaction Design Foundation","https://www.interaction-design.org/courses/product-design-mastering-the-design-process"
"Product Designer","UI/UX Design, Product Strategy, Market Research, Business Acumen, Data Analysis (product metrics), A/B Testing, Stakeholder Management, Roadmap Planning, Prototyping, Information Architecture, User Stories, Journey Mapping, Competitive Analysis, Feature Prioritization, Design Systems (e.g., Material Design, Ant Design), Agile/Scrum tools","Designing an Internal Tool to Improve Operational Efficiency","Product design for an internal dashboard and workflow tool aimed at automating and streamlining a company's customer support operations. This project is based on stakeholder interviews, process mapping, and iterative development.","https://github.com/product-design-examples/internal-ops-tool-product-design","Professional Scrum Product Owner I (PSPO I)","Scrum.org","https://www.scrum.org/courses/professional-scrum-product-owner-i-training"
"Product Designer","UI/UX Design, Product Strategy, Market Research, Business Acumen, Data Analysis (product metrics), A/B Testing, Stakeholder Management, Roadmap Planning, Prototyping, Information Architecture, User Stories, Journey Mapping, Competitive Analysis, Feature Prioritization, Design Systems (e.g., Material Design, Ant Design), Agile/Scrum tools","Developing a Cross-Platform Product Experience","A product design project involving the creation of a seamless user experience for a media streaming service across web, mobile, and smart TV platforms. Focuses on consistent content discovery, playback, and personalization across devices.","https://github.com/product-design-examples/cross-platform-media-streamer","Data-Driven Product Management Specialization","Google (Coursera)","https://www.coursera.org/specializations/google-data-driven-product-management"
"Interaction Designer","User Research, Wireframing, Prototyping, Usability Testing, Information Architecture, Interaction Flow Design, HTML, CSS (basic understanding), JavaScript (conceptual), Figma Prototypes, Adobe XD Prototypes, Axure RP Libraries","E-commerce Checkout Flow Redesign","Design and prototype an optimized, frictionless checkout experience for an e-commerce platform, focusing on reducing cart abandonment rates through improved information architecture and clear interaction feedback. Utilize Figma for wireframing and interactive prototyping, aiming for a responsive design across desktop and mobile.","https://github.com/creativetimofficial/tailwind-ecommerce-template","Google UX Design Professional Certificate","Google (Coursera)","https://www.coursera.org/professional-certificates/google-ux-design"
"Interaction Designer","User Research, Wireframing, Prototyping, Usability Testing, Information Architecture, Interaction Flow Design, HTML, CSS (basic understanding), JavaScript (conceptual), Figma Prototypes, Adobe XD Prototypes, Axure RP Libraries","Mobile Banking App Interaction Flow","Develop the interaction flows and high-fidelity prototypes for a new feature in a mobile banking application, such as budget tracking or peer-to-peer payments. Emphasize security, clarity, and ease of use following Material Design or iOS Human Interface Guidelines for native feel.","https://github.com/ReactNativeSchool/react-native-template-bank","IBM UX Design Professional Certificate","IBM (Coursera)","https://www.coursera.org/professional-certificates/ibm-ux-design"
"Interaction Designer","User Research, Wireframing, Prototyping, Usability Testing, Information Architecture, Interaction Flow Design, HTML, CSS (basic understanding), JavaScript (conceptual), Figma Prototypes, Adobe XD Prototypes, Axure RP Libraries","Data Analytics Dashboard Interaction","Design the interactive elements and user flows for a complex data analytics dashboard, enabling users to filter, sort, and visualize data effectively. Focus on intuitive navigation, data hierarchy, and interactive charts using components from a design system like Material UI.","https://github.com/app-generator/react-material-dashboard","Nielsen Norman Group UX Certification","Nielsen Norman Group","https://www.nngroup.com/ux-certification/"
"Interaction Designer","User Research, Wireframing, Prototyping, Usability Testing, Information Architecture, Interaction Flow Design, HTML, CSS (basic understanding), JavaScript (conceptual), Figma Prototypes, Adobe XD Prototypes, Axure RP Libraries","Smart Home Device Control Interface","Create a seamless interaction experience for a smart home mobile application controlling various devices like lighting, thermostats, and security cameras. Design for quick actions, clear device status, and accessible settings, integrating gesture-based interactions where appropriate.","https://github.com/creativetimofficial/argon-dashboard","Adobe Certified Professional: UI Designer","Adobe","https://www.adobe.com/certification/certified-professional/ui-designer.html"
"Interaction Designer","User Research, Wireframing, Prototyping, Usability Testing, Information Architecture, Interaction Flow Design, HTML, CSS (basic understanding), JavaScript (conceptual), Figma Prototypes, Adobe XD Prototypes, Axure RP Libraries","Educational Platform Onboarding Experience","Design a personalized onboarding flow for an online educational platform, guiding new users through profile setup, course discovery, and initial goal setting. Incorporate micro-interactions and progressive disclosure to make the process engaging and informative.","https://github.com/gatsbyjs/gatsby-starter-default","Interaction Design Foundation: User Experience (UX) Design Course","Interaction Design Foundation","https://www.interaction-design.org/courses/user-experience-ux-design"
"Interaction Designer","User Research, Wireframing, Prototyping, Usability Testing, Information Architecture, Interaction Flow Design, HTML, CSS (basic understanding), JavaScript (conceptual), Figma Prototypes, Adobe XD Prototypes, Axure RP Libraries","Social Media Feed Interaction Design","Redesign key interactions within a social media application's feed, such as liking, commenting, sharing, and content creation. Focus on improving engagement metrics and user satisfaction through refined visual feedback and intuitive gestures for content interaction.","https://github.com/Flatlogic/react-social-app","Coursera: UI/UX Design Specialization (California Institute of the Arts)","California Institute of the Arts (Coursera)","https://www.coursera.org/specializations/ui-ux-design"
"Visual Designer","Typography, Color Theory, Layout Design, Iconography, Visual Hierarchy, Branding, Photo Editing, Illustration, N/A (basic HTML/CSS understanding for web context), Design Systems, UI Kits, Component Libraries","Brand Identity & Style Guide for a Startup","Develop a complete brand identity, including logo design, color palette, typography, and imagery guidelines for a fictional tech startup. Create a comprehensive style guide that outlines usage rules for print and digital applications, ensuring brand consistency across all touchpoints.","https://github.com/design-system-boilerplate/design-system-boilerplate","Adobe Certified Professional: Visual Design Specialist","Adobe","https://www.adobe.com/certification/certified-professional/visual-design-specialist.html"
"Visual Designer","Typography, Color Theory, Layout Design, Iconography, Visual Hierarchy, Branding, Photo Editing, Illustration, N/A (basic HTML/CSS understanding for web context), Design Systems, UI Kits, Component Libraries","Responsive Website Visual Redesign","Execute a full visual redesign of an existing website, focusing on modern aesthetics, improved visual hierarchy, and responsive adaptation across various screen sizes. Deliver high-fidelity mockups, including a new color scheme, typography, and custom graphical elements.","https://github.com/twbs/bootstrap-npm-starter","Google Digital Marketing & E-commerce Professional Certificate","Google (Coursera)","https://www.coursera.org/professional-certificates/google-digital-marketing-ecommerce"
"Visual Designer","Typography, Color Theory, Layout Design, Iconography, Visual Hierarchy, Branding, Photo Editing, Illustration, N/A (basic HTML/CSS understanding for web context), Design Systems, UI Kits, Component Libraries","Mobile App UI Kit Development","Design a reusable UI kit for a mobile application, encompassing a wide range of components such as buttons, input fields, navigation elements, and cards. Ensure the kit adheres to a consistent visual language, supports both light and dark modes, and is easily implementable by developers.","https://github.com/ant-design/ant-design-mobile","Meta Social Media Marketing Professional Certificate","Meta (Coursera)","https://www.coursera.org/professional-certificates/meta-social-media-marketing"
"Visual Designer","Typography, Color Theory, Layout Design, Iconography, Visual Hierarchy, Branding, Photo Editing, Illustration, N/A (basic HTML/CSS understanding for web context), Design Systems, UI Kits, Component Libraries","Social Media Marketing Campaign Visuals","Create a series of engaging visual assets (images, short animations, infographics) for a social media marketing campaign promoting a new product or service. Design for different platforms (e.g., Instagram, Facebook, LinkedIn) optimizing for platform-specific visual best practices and ad formats.","https://github.com/tailwind-css/starter-landing-page","Coursera: Graphic Design Specialization (California Institute of the Arts)","California Institute of the Arts (Coursera)","https://www.coursera.org/specializations/graphic-design"
"Visual Designer","Typography, Color Theory, Layout Design, Iconography, Visual Hierarchy, Branding, Photo Editing, Illustration, N/A (basic HTML/CSS understanding for web context), Design Systems, UI Kits, Component Libraries","Infographic and Data Visualization Design","Design an informative and visually appealing infographic based on a complex dataset (e.g., environmental data, market trends). Focus on clear data representation, effective use of color, and compelling visual storytelling to make the information digestible and engaging for a general audience.","https://github.com/app-generator/react-datta-able","Udemy: The Complete Graphic Design Theory for Beginners Course","Udemy","https://www.udemy.com/course/graphic-design-theory-for-beginners/"
"Visual Designer","Typography, Color Theory, Layout Design, Iconography, Visual Hierarchy, Branding, Photo Editing, Illustration, N/A (basic HTML/CSS understanding for web context), Design Systems, UI Kits, Component Libraries","Custom Icon Set and Illustration Library","Develop a unique set of vector icons and a small library of custom illustrations for a software application or a content platform. Ensure visual consistency, scalability, and adherence to the product's brand personality, suitable for various UI states and marketing materials.","https://github.com/google/material-design-icons","freeCodeCamp: Responsive Web Design Certification","freeCodeCamp","https://www.freecodecamp.org/learn/responsive-web-design/"
"Mobile UI Designer","Mobile UI Principles (iOS HIG, Material Design), Wireframing, Prototyping, Responsive Design, Usability Testing (Mobile), Interaction Design for Mobile, Accessibility, N/A (understanding of Swift, Kotlin, React Native concepts), Figma Prototypes, Sketch Libraries, Adobe XD Prototypes, iOS UI Kit, Material Design Components","Fitness Tracking Mobile App UI","Design the complete UI for a fitness tracking mobile application, including screens for activity logging, progress visualization, goal setting, and user profiles. Emphasize clear data presentation, motivating visuals, and intuitive navigation for active users on both iOS and Android.","https://github.com/react-native-elements/react-native-elements-app","Google UX Design Professional Certificate","Google (Coursera)","https://www.coursera.org/professional-certificates/google-ux-design"
"Mobile UI Designer","Mobile UI Principles (iOS HIG, Material Design), Wireframing, Prototyping, Responsive Design, Usability Testing (Mobile), Interaction Design for Mobile, Accessibility, N/A (understanding of Swift, Kotlin, React Native concepts), Figma Prototypes, Sketch Libraries, Adobe XD Prototypes, iOS UI Kit, Material Design Components","Food Delivery App UI (iOS & Android)","Create the user interface for a food delivery mobile application, encompassing restaurant browsing, menu selection, order customization, and checkout processes. Design distinct versions optimized for both iOS (HIG) and Android (Material Design) aesthetics and interaction patterns.","https://github.com/emreaydin34/react-native-food-delivery-app-ui","Coursera: UI/UX Design Specialization (California Institute of the Arts)","California Institute of the Arts (Coursera)","https://www.coursera.org/specializations/ui-ux-design"
"Mobile UI Designer","Mobile UI Principles (iOS HIG, Material Design), Wireframing, Prototyping, Responsive Design, Usability Testing (Mobile), Interaction Design for Mobile, Accessibility, N/A (understanding of Swift, Kotlin, React Native concepts), Figma Prototypes, Sketch Libraries, Adobe XD Prototypes, iOS UI Kit, Material Design Components","Travel Booking Mobile App UI","Develop a user-friendly UI for a travel booking mobile application, focusing on flight/hotel search, detailed listing views, secure booking flows, and itinerary management. Incorporate engaging imagery and clear calls-to-action to facilitate user decision-making.","https://github.com/Mindinventory/Travel-Booking-App-UI-React-Native","Udemy: The Complete App Design Course - UI, UX and Design Thinking","Udemy","https://www.udemy.com/course/learn-mobile-app-design/"
"Mobile UI Designer","Mobile UI Principles (iOS HIG, Material Design), Wireframing, Prototyping, Responsive Design, Usability Testing (Mobile), Interaction Design for Mobile, Accessibility, N/A (understanding of Swift, Kotlin, React Native concepts), Figma Prototypes, Sketch Libraries, Adobe XD Prototypes, iOS UI Kit, Material Design Components","E-wallet / Payment Mobile App UI","Design a secure and intuitive UI for a mobile e-wallet or payment application, including features for sending/receiving money, transaction history, and managing payment methods. Prioritize clarity, trust-building visuals, and efficient interaction flows for financial transactions.","https://github.com/sivabalan-p/react-native-payapp","Uxcel: UI Design Foundations","Uxcel","https://uxcel.com/courses/ui-design-foundations-640"
"Mobile UI Designer","Mobile UI Principles (iOS HIG, Material Design), Wireframing, Prototyping, Responsive Design, Usability Testing (Mobile), Interaction Design for Mobile, Accessibility, N/A (understanding of Swift, Kotlin, React Native concepts), Figma Prototypes, Sketch Libraries, Adobe XD Prototypes, iOS UI Kit, Material Design Components","Smart Home Control Mobile App UI","Create a clean and efficient UI for a smart home mobile app that allows users to control various connected devices. Focus on quick access to device states, easy adjustments, and a visual hierarchy that supports managing multiple devices with minimal effort.","https://github.com/Mindinventory/Smart-Home-App-UI-React-Native","Interaction Design Foundation: Mobile User Experience (UX) Design Course","Interaction Design Foundation","https://www.interaction-design.org/courses/mobile-user-experience-ux-design"
"Mobile UI Designer","Mobile UI Principles (iOS HIG, Material Design), Wireframing, Prototyping, Responsive Design, Usability Testing (Mobile), Interaction Design for Mobile, Accessibility, N/A (understanding of Swift, Kotlin, React Native concepts), Figma Prototypes, Sketch Libraries, Adobe XD Prototypes, iOS UI Kit, Material Design Components","Educational Game Mobile Interface","Design the UI for an educational mobile game targeting a specific age group, integrating game mechanics with learning content. Focus on engaging visuals, clear instructions, rewarding feedback, and an interface that supports sustained player engagement and learning outcomes.","https://github.com/eminmuhammadi/QuizApp-React-Native","Coursera: Introduction to iOS App Development with Swift","University of Toronto (Coursera)","https://www.coursera.org/learn/ios-app-development-swift"
"iOS UI/UX Designer","UI Design Principles, UX Design Principles, Information Architecture, Interaction Design, Prototyping, Wireframing, User Flows, Usability Testing, Accessibility, Human Interface Guidelines (HIG), Swift (understanding for development context), JSON, XML, UIKit, SwiftUI, Auto Layout, Core Animation","E-commerce iOS App Redesign","A comprehensive UI/UX redesign of an existing e-commerce application, focusing on intuitive product discovery, streamlined checkout processes, and personalized user experiences, adhering strictly to Apple's Human Interface Guidelines. This project includes user flows, wireframes, high-fidelity mockups in Figma, and a clickable prototype.","https://github.com/iOS-Design-Templates/ECommerce-App-UIUX","Google UX Design Professional Certificate","Google (Coursera)","https://www.coursera.org/professional-certificates/google-ux-design"
"iOS UI/UX Designer","UI Design Principles, UX Design Principles, Information Architecture, Interaction Design, Prototyping, Wireframing, User Flows, Usability Testing, Accessibility, Human Interface Guidelines (HIG), Swift (understanding for development context), JSON, XML, UIKit, SwiftUI, Auto Layout, Core Animation","Productivity/Task Management iOS App","Design a modern task management application for iOS, featuring gesture-driven interactions, robust notification system integration, and custom home screen widgets. The project demonstrates interaction design skills, information architecture, and attention to accessibility.","https://github.com/swiftui-design-prototypes/TaskMaster-iOS-Design","Certified Usability Analyst (CUA)","Human Factors International (HFI)","https://humanfactors.com/training/certification/cua"
"iOS UI/UX Designer","UI Design Principles, UX Design Principles, Information Architecture, Interaction Design, Prototyping, Wireframing, User Flows, Usability Testing, Accessibility, Human Interface Guidelines (HIG), Swift (understanding for development context), JSON, XML, UIKit, SwiftUI, Auto Layout, Core Animation","Fitness Tracking App with HealthKit Integration","UI/UX for a fitness tracking application that visualizes user activity, tracks workout progress, and integrates seamlessly with Apple HealthKit data. Emphasis is placed on clear data visualization, motivating UI elements, and a user-friendly onboarding experience.","https://github.com/iOS-Health-App-Design/FitFlow-UIUX","Nielsen Norman Group UX Certification","Nielsen Norman Group","https://www.nngroup.com/ux-certification/"
"iOS UI/UX Designer","UI Design Principles, UX Design Principles, Information Architecture, Interaction Design, Prototyping, Wireframing, User Flows, Usability Testing, Accessibility, Human Interface Guidelines (HIG), Swift (understanding for development context), JSON, XML, UIKit, SwiftUI, Auto Layout, Core Animation","Interactive News Reader iOS App","Create an interactive news reader application offering a personalized news feed, offline reading capabilities, and rich media support with elegant typography and responsive layouts. The design focuses on content hierarchy and an immersive reading experience.","https://github.com/mobile-app-design-kits/NewsWave-iOS-UI","Professional Certificate in UI Design","California Institute of the Arts (Coursera)","https://www.coursera.org/specializations/ui-design"
"iOS UI/UX Designer","UI Design Principles, UX Design Principles, Information Architecture, Interaction Design, Prototyping, Wireframing, User Flows, Usability Testing, Accessibility, Human Interface Guidelines (HIG), Swift (understanding for development context), JSON, XML, UIKit, SwiftUI, Auto Layout, Core Animation","Smart Home Control iOS Interface","Design an intuitive and user-friendly interface for controlling various smart home devices (lighting, thermostat, security cameras) within the Apple HomeKit ecosystem. The project prioritizes simplicity, glanceability, and efficient device management.","https://github.com/smart-home-app-templates/HomeConnect-iOS-Design","UX Master Certification","Interaction Design Foundation (IxDF)","https://www.interaction-design.org/ux-master-certificate"
"iOS UI/UX Designer","UI Design Principles, UX Design Principles, Information Architecture, Interaction Design, Prototyping, Wireframing, User Flows, Usability Testing, Accessibility, Human Interface Guidelines (HIG), Swift (understanding for development context), JSON, XML, UIKit, SwiftUI, Auto Layout, Core Animation","Social Networking Photo Sharing iOS App","Develop the UI/UX for a social networking and photo sharing application, featuring a clean, engaging content feed, interactive stories, and an intuitive in-app photo editor. Focus on visual hierarchy, user engagement, and content creation flows.","https://github.com/iOS-Social-App-Designs/PixelFeed-UIUX","Human-Computer Interaction (HCI) Specialization","Georgia Tech (Coursera)","https://www.coursera.org/specializations/human-computer-interaction"
"Android UI/UX Designer","UI Design Principles, UX Design Principles, Information Architecture, Interaction Design, Prototyping, Wireframing, User Flows, Usability Testing, Accessibility, Material Design Guidelines, Kotlin (understanding for development context), Java (legacy context), JSON, XML, Android Jetpack Compose, Android XML Layouts, ConstraintLayout, RecyclerView, Android Design Support Library","Social Media Android App Redesign","An Android social media application redesign focusing on a dynamic content feed, intuitive profile management, and engaging user interactions, adhering strictly to Material Design principles. This project involves comprehensive user flows, visual design, and interactive prototypes.","https://github.com/android-design-templates/ConnectHub-UIUX","Google UX Design Professional Certificate","Google (Coursera)","https://www.coursera.org/professional-certificates/google-ux-design"
"Android UI/UX Designer","UI Design Principles, UX Design Principles, Information Architecture, Interaction Design, Prototyping, Wireframing, User Flows, Usability Testing, Accessibility, Material Design Guidelines, Kotlin (understanding for development context), Java (legacy context), JSON, XML, Android Jetpack Compose, Android XML Layouts, ConstraintLayout, RecyclerView, Android Design Support Library","Recipe Sharing & Meal Planning Android App","Design a recipe sharing and meal planning application for Android, featuring advanced search, step-by-step instructions, and personalized meal suggestions. Emphasis is placed on visual hierarchy, content organization, and a delightful cooking experience.","https://github.com/jetpack-compose-ui/FlavorFind-Android-Design","Certified Usability Analyst (CUA)","Human Factors International (HFI)","https://humanfactors.com/training/certification/cua"
"Android UI/UX Designer","UI Design Principles, UX Design Principles, Information Architecture, Interaction Design, Prototyping, Wireframing, User Flows, Usability Testing, Accessibility, Material Design Guidelines, Kotlin (understanding for development context), Java (legacy context), JSON, XML, Android Jetpack Compose, Android XML Layouts, ConstraintLayout, RecyclerView, Android Design Support Library","Travel Planner Android App with Offline Features","UI/UX for a travel planning app including itinerary creation, map integration, local recommendations, and offline access to travel documents. Designed for ease of use on the go, incorporating Material You theming and dynamic components.","https://github.com/android-travel-app-designs/JourneyGenie-UIUX","Nielsen Norman Group UX Certification","Nielsen Norman Group","https://www.nngroup.com/ux-certification/"
"Android UI/UX Designer","UI Design Principles, UX Design Principles, Information Architecture, Interaction Design, Prototyping, Wireframing, User Flows, Usability Testing, Accessibility, Material Design Guidelines, Kotlin (understanding for development context), Java (legacy context), JSON, XML, Android Jetpack Compose, Android XML Layouts, ConstraintLayout, RecyclerView, Android Design Support Library","Podcast Player & Discoverability Android App","Create a podcast player with a focus on content discoverability, intuitive playback controls, offline listening capabilities, and a visually appealing episode list. The design ensures a seamless audio consumption experience and engaging content exploration.","https://github.com/material-design-apps/PodcastPro-Android-UI","Professional Certificate in UI Design","California Institute of the Arts (Coursera)","https://www.coursera.org/specializations/ui-design"
